sesja_id,pojazd,segment,pojemnosc_baterii_kwh,soc_poczatkowy,soc_docelowy,soc_koncowy,przyjazd,start_ladowania,koniec_ladowania,czas_oczekiwania_min,czas_ladowania_min,energia_planowana_kwh,energia_dostarczona_kwh,slot_ladowarki,status
EV-001,Volvo EX30 69 kWh,crossover,69.0,0.483,0.816,0.816,15:00,15:00,15:15,0.0,15.0,23.007,23.007,1,zakonczona
EV-014,Volvo EX30 69 kWh,crossover,69.0,0.256,0.828,0.827,15:00,15:00,15:30,0.0,30.0,39.433,39.433,2,zakonczona
EV-005,BMW i4 eDrive40,sedan,81.1,0.376,0.814,0.813,15:30,15:30,16:00,0.0,30.0,35.478,35.478,1,zakonczona
EV-015,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.259,0.767,0.767,15:45,15:45,16:15,0.0,30.0,39.308,39.308,2,zakonczona
EV-026,BMW i4 eDrive40,sedan,81.1,0.262,0.806,0.806,15:45,15:45,16:15,0.0,30.0,44.091,44.091,3,zakonczona
EV-027,Hyundai IONIQ 5 77.4 kWh,crossover,77.4,0.516,0.776,0.776,16:15,16:15,16:30,0.0,15.0,20.102,20.102,1,zakonczona
EV-036,BMW i4 eDrive40,sedan,81.1,0.539,0.795,0.795,16:30,16:30,16:45,0.0,15.0,20.788,20.788,1,zakonczona
EV-025,Volvo EX30 69 kWh,crossover,69.0,0.206,0.799,0.799,17:00,17:00,17:30,0.0,30.0,40.895,40.895,1,zakonczona
EV-039,BMW i4 eDrive40,sedan,81.1,0.446,0.769,0.769,17:00,17:00,17:15,0.0,15.0,26.242,26.242,2,zakonczona
EV-030,Volvo EX30 69 kWh,crossover,69.0,0.216,0.763,0.763,20:45,20:45,21:15,0.0,30.0,37.764,37.764,1,zakonczona
EV-031,Volvo EX30 69 kWh,crossover,69.0,0.449,0.822,0.822,23:00,23:00,23:15,0.0,15.0,25.731,25.731,1,zakonczona
